1xx, "Informational <BR>" 
 100 , "Continue <BR>Allows the client to determine if the origin server is willing to accept the request, for example based on the request headers, before the client sends the request body. If the request is not accepted, the status code 406 is returned. 
 Example usage: http client checks if chunked transfer encoding is allowed before sending the full request body. <BR> " 
 101 , "Switching Protocols <BR>Response from the httpd when an upgrade header is received and the requested protocol is supported by the httpd. Will be followed by a Upgrade header specifying the tokens of the protocol stack it is switching to. 
 Example usage: http client wants to switch from HTTP/1.1 to TLS/1.0 in order to set up a secure communication channel. <BR> " 
 102 , "Processing <BR>Part of the http status code extensions for Distributed Authoring (WebDAV). 
 Should be sent to the http client when a request takes a long period to complete. Will always be followed by the final response indicating either success or failure of the request. This status code can be used to avoid connection timeouts preventing the response from being succesfully sent to the http client. <BR>" 
 2xx, "Successful <BR>" 
 200 , "OK <BR>Request has succeeded, content delivered normally. <BR> " 
 201 , "Created <BR>Request has succeeded and has resulted in a new resource being created. Usually details on the resource such as its new URI and ETag information are included in the httpd response. 
 Example usage: a POST request to a remote script that generates a file on the server returns the status code 201 once the file has been succesfully created. <BR> " 
 202 , "Accepted <BR>The request has been accepted for processing, but the processing has not been completed. This is used when a client sends a request to the httpd, but can or does not maintain a persistent connection long enough to await the final response. The response containing the 202 status code should also contain an entity describing a location where the status of the request can be monitored or some estimate of when the the request can be expected to be fulfilled. <BR> " 
 203 , "Non-Authoritative Information <BR>The returned metainformation in the entity-header is not the definitive set as available from the origin server, but is gathered from a local or a third-party copy. The set presented MAY be a subset or superset of the original version. For example, including local annotation information about the resource might result in a superset of the metainformation known by the origin server. Use of this response code is not required and is only appropriate when the response would otherwise be 200. <BR> " 
 204 , "No Content <BR>The server has fulfilled the request but does not need to return an entity-body, and might want to return updated metainformation. This response is primarily intended to allow input for actions to take place without causing a change to the user agent's active document view. <BR> " 
 205 , "Reset Content <BR>The server has fulfilled the request and the user agent should reset the document view which caused the request to be sent. This response is primarily intended to allow input for actions to take place via user input, followed by a clearing of the form in which the input is given so that the user can easily initiate another input action. <BR> " 
 206 , "Partial Content <BR>The server has fulfilled the partial get request for the resource. The request must have included a Range header field indicating the desired range, and may have included an If-Range header field to make the request conditional. <BR> " 
 207 , "Multi-Status <BR>Part of the http status code extensions for Distributed Authoring (WebDAV). 
 Used when a request to the httpd resulted in multiple non-1xx status codes being generated during the method invocation. The response body consists of a XML element 'multistatus' which contains multiple 'response' elements, each specifying a status code. <BR>" 
 3xx, "Redirection <BR>" 
 300 , "Multiple Choices <BR> The requested resource corresponds to any one of a set of representations, meaning Content Negotiation is in effect, on Apache HTTPD Server enabled by the Multiviews option or a type-map file.<BR>  Content Negotiation<BR>" 
 301 , "Moved Permanently <BR>The requested resource has been assigned a new permanent URI.
Example usage: Redirect permanent /foo http://www.example.com/bar or RewriteRule /foo http://www.example.com/bar [R=301]<BR> " 
